Lutadores;BackGround
Jake Shields;Brazilian Jiu Jitsu
James Head;Brazilian Jiu Jitsu
James Irvin;MMA
James Krause;Brazilian Jiu Jitsu
James McSweeney;Kickboxing
James Moontasri;Taekwondo
James Te Huna;MMA
James Vick;Boxing
James Wilks;Taekwondo
Jamie Varner;Wrestling
Jan Blachowicz;Brazilian Jiu Jitsu
Jared Hamman;Wrestling
Jared Rosholt;Wrestling
Jason Brilz;Wrestling
Jason Day;MMA
Jason DeLucia;MMA
Jason Dent;Muay Thai
Jason High;Brazilian Jiu Jitsu
Jason Lambert;MMA
Jason MacDonald;Brazilian Jiu Jitsu
Jason Saggo;Brazilian Jiu Jitsu
Jason Von Flue;Brazilian Jiu Jitsu
Jason Young;MMA
Javier Vazquez;Brazilian Jiu Jitsu
Jeff Hougland;Brazilian Jiu Jitsu
Jeff Monson;Brazilian Jiu Jitsu
Jens Pulver;Boxing
Jeremy Horn;MMA
Jeremy Stephens;Wrestling
Jerrod Sanders;Wrestling
Jerry Bohlander;Wrestling
Jess Liaudin;Muay Thai
Jessamyn Duke;Muay Thai
Jesse Lennox;MMA
Jessica Andrade;Boxing
Jessica Eye;Boxing
Jessica Penne;Brazilian Jiu Jitsu
Jim Alers;Brazilian Jiu Jitsu
Jim Hettes;Judo
Jim Miller;Wrestling
Jimi Manuwa;Boxing
Jimmie Rivera;Karate
Jingliang Li;Wrestling
Joanna Jedrzejczyk;Muay Thai
Joanne Calderwood;Muay Thai
Joaquim Silva;Boxing
Joby Sanchez;Kickboxing
Joe Charles;Judo
Joe Doerksen;Brazilian Jiu Jitsu
Joe Ellenberger;Wrestling
Joe Lauzon;Brazilian Jiu Jitsu
Joe Moreira;Brazilian Jiu Jitsu
Joe Proctor;Brazilian Jiu Jitsu
Joe Riggs;Brazilian Jiu Jitsu
Joe Stevenson;Brazilian Jiu Jitsu
Joel Sutton;MMA
Joey Beltran;Wrestling
John Albert;Wrestling
John Cholish;Brazilian Jiu Jitsu
John Dodson;MMA
John Gunderson;MMA
John Hathaway;Wrestling
