"","X.2","X.1","X","pageurl","eid","mid","event_name","event_org","event_date","event_place","f1pageurl","f2pageurl","f1name","f2name","f1result","f2result","f1fid","f2fid","method","method_d","ref","round","time","year","f1BackGround","f2BackGround","f1win","f2win","value","minutos_de_luta","winner_style","mach_vector"
"206",206,206,206,"/events/UFC-41-Onslaught-1424",1424,1,"UFC 41 - Onslaught","Ultimate Fighting Championship","2/28/2003","Boardwalk Hall, Atlantic City, New Jersey, United States","/fighter/Yves-Edwards-344","/fighter/Rich-Clementi-1046","Yves Edwards","Rich Clementi","win","loss",344,1046,"Submission","Rear-Naked Choke","N/A",3,"4:07",2003,"Muay Thai","Wrestling",1,0,1,14.12,"Muay Thai","Muay Thai vs Wrestling"
"207",207,207,207,"/events/UFC-42-Sudden-Impact-1469",1469,7,"UFC 42 - Sudden Impact","Ultimate Fighting Championship","4/25/2003","American Airlines Arena, Miami, Florida, United States","/fighter/Pete-Spratt-3195","/fighter/Robbie-Lawler-2245","Pete Spratt","Robbie Lawler","win","loss",3195,2245,"Submission","Injury","N/A",2,"2:28",2003,"Karate","MMA",1,0,1,7.47,"Karate","Karate vs MMA"
"208",208,208,208,"/events/UFC-43-Meltdown-1614",1614,7,"UFC 43 - Meltdown","Ultimate Fighting Championship","6/6/2003","Thomas and Mack Center, Las Vegas, Nevada, United States","/fighter/Kimo-Leopoldo-43","/fighter/David-Abbott-110","Kimo Leopoldo","David Abbott","win","loss",43,110,"Submission","Arm Triangle Choke","N/A",1,"1:59",2003,"Taekwondo","Wrestling",1,0,1,1.98,"Taekwondo","Taekwondo vs Wrestling"
"209",209,209,209,"/events/UFC-44-Undisputed-1688",1688,4,"UFC 44 - Undisputed","Ultimate Fighting Championship","9/26/2003","Mandalay Bay Events Center, Las Vegas, Nevada, United States","/fighter/Karo-Parisyan-5153","/fighter/Dave-Strasser-615","Karo Parisyan","Dave Strasser","win","loss",5153,615,"Submission","Kimura","N/A",1,"3:52",2003,"Judo","Wrestling",1,0,1,3.87,"Judo","Judo vs Wrestling"
"210",210,210,210,"/events/UFC-45-Revolution-1863",1863,8,"UFC 45 - Revolution","Ultimate Fighting Championship","11/21/2003","Mohegan Sun Arena, Uncasville, Conneticut, United States","/fighter/Matt-Hughes-232","/fighter/Frank-Trigg-311","Matt Hughes","Frank Trigg","win","loss",232,311,"Submission","Rear-Naked Choke","N/A",1,"3:54",2003,"Wrestling","Wrestling",1,0,1,3.9,"Wrestling","Wrestling vs Wrestling"
"211",211,211,211,"/events/UFC-41-Onslaught-1424",1424,8,"UFC 41 - Onslaught","Ultimate Fighting Championship","2/28/2003","Boardwalk Hall, Atlantic City, New Jersey, United States","/fighter/Tim-Sylvia-1061","/fighter/Ricco-Rodriguez-8","Tim Sylvia","Ricco Rodriguez","win","loss",1061,8,"KO","Punches","N/A",1,"3:09",2003,"Boxing","Brazilian Jiu Jitsu",1,0,1,3.15,"Boxing","Boxing vs Brazilian Jiu Jitsu"
"212",212,212,212,"/events/UFC-42-Sudden-Impact-1469",1469,4,"UFC 42 - Sudden Impact","Ultimate Fighting Championship","4/25/2003","American Airlines Arena, Miami, Florida, United States","/fighter/Rich-Franklin-392","/fighter/Evan-Tanner-212","Rich Franklin","Evan Tanner","win","loss",392,212,"KO","Punches","N/A",1,"2:40",2003,"Kickboxing","Wrestling",1,0,1,2.67,"Kickboxing","Kickboxing vs Wrestling"
"213",213,213,213,"/events/UFC-43-Meltdown-1614",1614,8,"UFC 43 - Meltdown","Ultimate Fighting Championship","6/6/2003","Thomas and Mack Center, Las Vegas, Nevada, United States","/fighter/Randy-Couture-166","/fighter/Chuck-Liddell-192","Randy Couture","Chuck Liddell","win","loss",166,192,"KO","Punches","N/A",3,"2:39",2003,"Wrestling","Wrestling",1,0,1,12.65,"Wrestling","Wrestling vs Wrestling"
"214",214,214,214,"/events/UFC-43-Meltdown-1614",1614,5,"UFC 43 - Meltdown","Ultimate Fighting Championship","6/6/2003","Thomas and Mack Center, Las Vegas, Nevada, United States","/fighter/Vitor-Belfort-156","/fighter/Marvin-Eastman-339","Vitor Belfort","Marvin Eastman","win","loss",156,339,"KO","Knees and Punches","N/A",1,"1:07",2003,"Brazilian Jiu Jitsu","Muay Thai",1,0,1,1.12,"Brazilian Jiu Jitsu","Brazilian Jiu Jitsu vs Muay Thai"
"215",215,215,215,"/events/UFC-43-Meltdown-1614",1614,2,"UFC 43 - Meltdown","Ultimate Fighting Championship","6/6/2003","Thomas and Mack Center, Las Vegas, Nevada, United States","/fighter/Falaniko-Vitale-370","/fighter/Matt-Lindland-276","Falaniko Vitale","Matt Lindland","win","loss",370,276,"KO","Slam","N/A",1,"1:56",2003,"Wrestling","Wrestling",1,0,1,1.93,"Wrestling","Wrestling vs Wrestling"
