"","X.2","X.1","X","pageurl","eid","mid","event_name","event_org","event_date","event_place","f1pageurl","f2pageurl","f1name","f2name","f1result","f2result","f1fid","f2fid","method","method_d","ref","round","time","year","f1BackGround","f2BackGround","f1win","f2win","value","minutos_de_luta","winner_style","mach_vector"
"1631",1631,1631,1631,"/events/UFC-on-Fuel-TV-10-Nogueira-vs-Werdum-26101",26101,4,"UFC on Fuel TV 10 - Nogueira vs. Werdum","Ultimate Fighting Championship","6/8/2013","Paulo Sarasate Gymnasium, Fortaleza, Ceara, Brazil","/fighter/Ildemar-Alcantara-22223","/fighter/Leandro-Silva-86382","Ildemar Alcantara","Leandro Silva","win","loss",22223,86382,"Decision","Unanimous","Marc Goddard",3,"5:00",2013,"Brazilian Jiu Jitsu","Brazilian Jiu Jitsu",1,0,1,15,"Brazilian Jiu Jitsu","Brazilian Jiu Jitsu vs Brazilian Jiu Jitsu"
"1632",1632,1632,1632,"/events/UFC-on-Fuel-TV-10-Nogueira-vs-Werdum-26101",26101,3,"UFC on Fuel TV 10 - Nogueira vs. Werdum","Ultimate Fighting Championship","6/8/2013","Paulo Sarasate Gymnasium, Fortaleza, Ceara, Brazil","/fighter/Rodrigo-Damm-11507","/fighter/Mizuto-Hirota-12078","Rodrigo Damm","Mizuto Hirota","win","loss",11507,12078,"Decision","Split","Mario Yamasaki",3,"5:00",2013,"Brazilian Jiu Jitsu","Boxing",1,0,1,15,"Brazilian Jiu Jitsu","Boxing vs Brazilian Jiu Jitsu"
"1633",1633,1633,1633,"/events/UFC-161-Evans-vs-Henderson-28457",28457,11,"UFC 161 - Evans vs. Henderson","Ultimate Fighting Championship","6/15/2013","MTS Centre, Winnipeg, Manitoba, Canada","/fighter/Rashad-Evans-10200","/fighter/Dan-Henderson-195","Rashad Evans","Dan Henderson","win","loss",10200,195,"Decision","Split","Herb Dean",3,"5:00",2013,"Wrestling","Wrestling",1,0,1,15,"Wrestling","Wrestling vs Wrestling"
"1634",1634,1634,1634,"/events/UFC-161-Evans-vs-Henderson-28457",28457,10,"UFC 161 - Evans vs. Henderson","Ultimate Fighting Championship","6/15/2013","MTS Centre, Winnipeg, Manitoba, Canada","/fighter/Stipe-Miocic-39537","/fighter/Roy-Nelson-10249","Stipe Miocic","Roy Nelson","win","loss",39537,10249,"Decision","Unanimous","Jerin Valel",3,"5:00",2013,"Boxing","Boxing",1,0,1,15,"Boxing","Boxing vs Boxing"
"1635",1635,1635,1635,"/events/UFC-161-Evans-vs-Henderson-28457",28457,9,"UFC 161 - Evans vs. Henderson","Ultimate Fighting Championship","6/15/2013","MTS Centre, Winnipeg, Manitoba, Canada","/fighter/Ryan-Jimmo-21044","/fighter/Igor-Pokrajac-7621","Ryan Jimmo","Igor Pokrajac","win","loss",21044,7621,"Decision","Unanimous","Yves Lavigne",3,"5:00",2013,"Karate","Brazilian Jiu Jitsu",1,0,1,15,"Karate","Brazilian Jiu Jitsu vs Karate"
"1636",1636,1636,1636,"/events/UFC-161-Evans-vs-Henderson-28457",28457,6,"UFC 161 - Evans vs. Henderson","Ultimate Fighting Championship","6/15/2013","MTS Centre, Winnipeg, Manitoba, Canada","/fighter/Jake-Shields-502","/fighter/Tyron-Woodley-42605","Jake Shields","Tyron Woodley","win","loss",502,42605,"Decision","Split","Yves Lavigne",3,"5:00",2013,"Brazilian Jiu Jitsu","Boxing",1,0,1,15,"Brazilian Jiu Jitsu","Boxing vs Brazilian Jiu Jitsu"
"1637",1637,1637,1637,"/events/UFC-161-Evans-vs-Henderson-28457",28457,4,"UFC 161 - Evans vs. Henderson","Ultimate Fighting Championship","6/15/2013","MTS Centre, Winnipeg, Manitoba, Canada","/fighter/Sean-Pierson-573","/fighter/Kenny-Robertson-31978","Sean Pierson","Kenny Robertson","win","loss",573,31978,"Decision","Majority","Herb Dean",3,"5:00",2013,"Wrestling","Wrestling",1,0,1,15,"Wrestling","Wrestling vs Wrestling"
"1638",1638,1638,1638,"/events/UFC-161-Evans-vs-Henderson-28457",28457,3,"UFC 161 - Evans vs. Henderson","Ultimate Fighting Championship","6/15/2013","MTS Centre, Winnipeg, Manitoba, Canada","/fighter/Roland-Delorme-37351","/fighter/Edwin-Figueroa-22490","Roland Delorme","Edwin Figueroa","win","loss",37351,22490,"Decision","Unanimous","Yves Lavigne",3,"5:00",2013,"Judo","Boxing",1,0,1,15,"Judo","Boxing vs Judo"
"1639",1639,1639,1639,"/events/UFC-161-Evans-vs-Henderson-28457",28457,2,"UFC 161 - Evans vs. Henderson","Ultimate Fighting Championship","6/15/2013","MTS Centre, Winnipeg, Manitoba, Canada","/fighter/Mitch-Clarke-22556","/fighter/John-Maguire-15574","Mitch Clarke","John Maguire","win","loss",22556,15574,"Decision","Unanimous","Jerin Valel",3,"5:00",2013,"Brazilian Jiu Jitsu","MMA",1,0,1,15,"Brazilian Jiu Jitsu","Brazilian Jiu Jitsu vs MMA"
"1640",1640,1640,1640,"/events/UFC-161-Evans-vs-Henderson-28457",28457,1,"UFC 161 - Evans vs. Henderson","Ultimate Fighting Championship","6/15/2013","MTS Centre, Winnipeg, Manitoba, Canada","/fighter/Yves-Jabouin-1693","/fighter/Dustin-Pague-39781","Yves Jabouin","Dustin Pague","win","loss",1693,39781,"Decision","Split","Adam Cheadle",3,"5:00",2013,"MMA","Boxing",1,0,1,15,"MMA","Boxing vs MMA"
"1641",1641,1641,1641,"/events/UFC-162-Silva-vs-Weidman-28459",28459,10,"UFC 162 - Silva vs. Weidman","Ultimate Fighting Championship","7/6/2013","MGM Grand Garden Arena, Las Vegas, Nevada, United States","/fighter/Frankie-Edgar-14204","/fighter/Charles-Oliveira-30300","Frankie Edgar","Charles Oliveira","win","loss",14204,30300,"Decision","Unanimous","Yves Lavigne",3,"5:00",2013,"Wrestling","Brazilian Jiu Jitsu",1,0,1,15,"Wrestling","Brazilian Jiu Jitsu vs Wrestling"
"1642",1642,1642,1642,"/events/UFC-162-Silva-vs-Weidman-28459",28459,8,"UFC 162 - Silva vs. Weidman","Ultimate Fighting Championship","7/6/2013","MGM Grand Garden Arena, Las Vegas, Nevada, United States","/fighter/Mark-Munoz-22411","/fighter/Tim-Boetsch-19544","Mark Munoz","Tim Boetsch","win","loss",22411,19544,"Decision","Unanimous","Steve Mazzagatti",3,"5:00",2013,"Wrestling","Wrestling",1,0,1,15,"Wrestling","Wrestling vs Wrestling"
"1643",1643,1643,1643,"/events/UFC-162-Silva-vs-Weidman-28459",28459,6,"UFC 162 - Silva vs. Weidman","Ultimate Fighting Championship","7/6/2013","MGM Grand Garden Arena, Las Vegas, Nevada, United States","/fighter/Andrew-Craig-63284","/fighter/Chris-Leben-6258","Andrew Craig","Chris Leben","win","loss",63284,6258,"Decision","Split","Yves Lavigne",3,"5:00",2013,"Muay Thai","Brazilian Jiu Jitsu",1,0,1,15,"Muay Thai","Brazilian Jiu Jitsu vs Muay Thai"
"1644",1644,1644,1644,"/events/UFC-162-Silva-vs-Weidman-28459",28459,5,"UFC 162 - Silva vs. Weidman","Ultimate Fighting Championship","7/6/2013","MGM Grand Garden Arena, Las Vegas, Nevada, United States","/fighter/Norman-Parke-47549","/fighter/Kazuki-Tokudome-26192","Norman Parke","Kazuki Tokudome","win","loss",47549,26192,"Decision","Unanimous","Steve Mazzagatti",3,"5:00",2013,"Wrestling","Judo",1,0,1,15,"Wrestling","Judo vs Wrestling"
"1645",1645,1645,1645,"/events/UFC-on-Fox-8-Johnson-vs-Moraga-26215",26215,11,"UFC on Fox 8 - Johnson vs. Moraga","Ultimate Fighting Championship","7/27/2013","KeyArena, Seattle, Washington, United States","/fighter/Rory-MacDonald-14018","/fighter/Jake-Ellenberger-13068","Rory MacDonald","Jake Ellenberger","win","loss",14018,13068,"Decision","Unanimous","Herb Dean",3,"5:00",2013,"Kickboxing","Wrestling",1,0,1,15,"Kickboxing","Kickboxing vs Wrestling"
"1646",1646,1646,1646,"/events/UFC-on-Fox-8-Johnson-vs-Moraga-26215",26215,7,"UFC on Fox 8 - Johnson vs. Moraga","Ultimate Fighting Championship","7/27/2013","KeyArena, Seattle, Washington, United States","/fighter/Danny-Castillo-26070","/fighter/Tim-Means-11281","Danny Castillo","Tim Means","win","loss",26070,11281,"Decision","Unanimous","Dan Miragliotta",3,"5:00",2013,"Brazilian Jiu Jitsu","MMA",1,0,1,15,"Brazilian Jiu Jitsu","Brazilian Jiu Jitsu vs MMA"
"1647",1647,1647,1647,"/events/UFC-on-Fox-8-Johnson-vs-Moraga-26215",26215,5,"UFC on Fox 8 - Johnson vs. Moraga","Ultimate Fighting Championship","7/27/2013","KeyArena, Seattle, Washington, United States","/fighter/Daron-Cruickshank-53717","/fighter/Yves-Edwards-344","Daron Cruickshank","Yves Edwards","win","loss",53717,344,"Decision","Split","Steve Newport",3,"5:00",2013,"Wrestling","Muay Thai",1,0,1,15,"Wrestling","Muay Thai vs Wrestling"
"1648",1648,1648,1648,"/events/UFC-on-Fox-8-Johnson-vs-Moraga-26215",26215,4,"UFC on Fox 8 - Johnson vs. Moraga","Ultimate Fighting Championship","7/27/2013","KeyArena, Seattle, Washington, United States","/fighter/Ed-Herman-6561","/fighter/Trevor-Smith-51113","Ed Herman","Trevor Smith","win","loss",6561,51113,"Decision","Split","Herb Dean",3,"5:00",2013,"Brazilian Jiu Jitsu","Wrestling",1,0,1,15,"Brazilian Jiu Jitsu","Brazilian Jiu Jitsu vs Wrestling"
"1649",1649,1649,1649,"/events/UFC-on-Fox-8-Johnson-vs-Moraga-26215",26215,2,"UFC on Fox 8 - Johnson vs. Moraga","Ultimate Fighting Championship","7/27/2013","KeyArena, Seattle, Washington, United States","/fighter/Justin-Salas-16180","/fighter/Aaron-Riley-1567","Justin Salas","Aaron Riley","win","loss",16180,1567,"Decision","Split","Randy Corley",3,"5:00",2013,"Wrestling","Boxing",1,0,1,15,"Wrestling","Boxing vs Wrestling"
"1650",1650,1650,1650,"/events/UFC-163-Aldo-vs-Korean-Zombie-28015",28015,11,"UFC 163 - Aldo vs. Korean Zombie","Ultimate Fighting Championship","8/3/2013","HSBC Arena, Rio de Janeiro, Brazil, Brazil","/fighter/Phil-Davis-27802","/fighter/Lyoto-Machida-7513","Phil Davis","Lyoto Machida","win","loss",27802,7513,"Decision","Unanimous","Leon Roberts",3,"5:00",2013,"Wrestling","Karate",1,0,1,15,"Wrestling","Karate vs Wrestling"
"1651",1651,1651,1651,"/events/UFC-163-Aldo-vs-Korean-Zombie-28015",28015,9,"UFC 163 - Aldo vs. Korean Zombie","Ultimate Fighting Championship","8/3/2013","HSBC Arena, Rio de Janeiro, Brazil, Brazil","/fighter/Thales-Leites-8593","/fighter/Tom-Watson-15179","Thales Leites","Tom Watson","win","loss",8593,15179,"Decision","Unanimous","Herb Dean",3,"5:00",2013,"Brazilian Jiu Jitsu","Muay Thai",1,0,1,15,"Brazilian Jiu Jitsu","Brazilian Jiu Jitsu vs Muay Thai"
"1652",1652,1652,1652,"/events/UFC-Fight-Night-26-Shogun-vs-Sonnen-29795",29795,11,"UFC Fight Night 26 - Shogun vs. Sonnen","Ultimate Fighting Championship","8/17/2013","TD Garden, Boston, Massachusetts, United States","/fighter/Urijah-Faber-8847","/fighter/Iuri-Alcantara-16129","Urijah Faber","Iuri Alcantara","win","loss",8847,16129,"Decision","Unanimous","Yves Lavigne",3,"5:00",2013,"Wrestling","Brazilian Jiu Jitsu",1,0,1,15,"Wrestling","Brazilian Jiu Jitsu vs Wrestling"
"1653",1653,1653,1653,"/events/UFC-Fight-Night-26-Shogun-vs-Sonnen-29795",29795,9,"UFC Fight Night 26 - Shogun vs. Sonnen","Ultimate Fighting Championship","8/17/2013","TD Garden, Boston, Massachusetts, United States","/fighter/John-Howard-11798","/fighter/Uriah-Hall-14210","John Howard","Uriah Hall","win","loss",11798,14210,"Decision","Split","Mario Yamasaki",3,"5:00",2013,"Brazilian Jiu Jitsu","Karate",1,0,1,15,"Brazilian Jiu Jitsu","Brazilian Jiu Jitsu vs Karate"
"1654",1654,1654,1654,"/events/UFC-Fight-Night-26-Shogun-vs-Sonnen-29795",29795,8,"UFC Fight Night 26 - Shogun vs. Sonnen","Ultimate Fighting Championship","8/17/2013","TD Garden, Boston, Massachusetts, United States","/fighter/Michael-Johnson-68788","/fighter/Joe-Lauzon-4923","Michael Johnson","Joe Lauzon","win","loss",68788,4923,"Decision","Unanimous","Yves Lavigne",3,"5:00",2013,"Wrestling","Brazilian Jiu Jitsu",1,0,1,15,"Wrestling","Brazilian Jiu Jitsu vs Wrestling"
"1655",1655,1655,1655,"/events/UFC-Fight-Night-26-Shogun-vs-Sonnen-29795",29795,6,"UFC Fight Night 26 - Shogun vs. Sonnen","Ultimate Fighting Championship","8/17/2013","TD Garden, Boston, Massachusetts, United States","/fighter/Conor-McGregor-29688","/fighter/Max-Holloway-38671","Conor McGregor","Max Holloway","win","loss",29688,38671,"Decision","Unanimous","Herb Dean",3,"5:00",2013,"Boxing","Kickboxing",1,0,1,15,"Boxing","Boxing vs Kickboxing"
"1656",1656,1656,1656,"/events/UFC-Fight-Night-26-Shogun-vs-Sonnen-29795",29795,4,"UFC Fight Night 26 - Shogun vs. Sonnen","Ultimate Fighting Championship","8/17/2013","TD Garden, Boston, Massachusetts, United States","/fighter/Diego-Brandao-25097","/fighter/Daniel-Pineda-21564","Diego Brandao","Daniel Pineda","win","loss",25097,21564,"Decision","Unanimous","Mario Yamasaki",3,"5:00",2013,"Brazilian Jiu Jitsu","Brazilian Jiu Jitsu",1,0,1,15,"Brazilian Jiu Jitsu","Brazilian Jiu Jitsu vs Brazilian Jiu Jitsu"
"1657",1657,1657,1657,"/events/UFC-Fight-Night-26-Shogun-vs-Sonnen-29795",29795,3,"UFC Fight Night 26 - Shogun vs. Sonnen","Ultimate Fighting Championship","8/17/2013","TD Garden, Boston, Massachusetts, United States","/fighter/Manny-Gamburyan-5185","/fighter/Cole-Miller-13133","Manny Gamburyan","Cole Miller","win","loss",5185,13133,"Decision","Unanimous","Yves Lavigne",3,"5:00",2013,"Judo","Brazilian Jiu Jitsu",1,0,1,15,"Judo","Brazilian Jiu Jitsu vs Judo"
"1658",1658,1658,1658,"/events/UFC-Fight-Night-27-Condit-vs-Kampmann-2-30211",30211,11,"UFC Fight Night 27 - Condit vs. Kampmann 2","Ultimate Fighting Championship","8/28/2013","Bankers Life Fieldhouse, Indianapolis, Indiana, United States","/fighter/Rafael-dos-Anjos-11675","/fighter/Donald-Cerrone-15105","Rafael dos Anjos","Donald Cerrone","win","loss",11675,15105,"Decision","Unanimous","Dan Miragliotta",3,"5:00",2013,"Muay Thai","Muay Thai",1,0,1,15,"Muay Thai","Muay Thai vs Muay Thai"
"1659",1659,1659,1659,"/events/UFC-Fight-Night-27-Condit-vs-Kampmann-2-30211",30211,9,"UFC Fight Night 27 - Condit vs. Kampmann 2","Ultimate Fighting Championship","8/28/2013","Bankers Life Fieldhouse, Indianapolis, Indiana, United States","/fighter/Court-McGee-34124","/fighter/Robert-Whittaker-45132","Court McGee","Robert Whittaker","win","loss",34124,45132,"Decision","Split","Herb Dean",3,"5:00",2013,"Wrestling","Karate",1,0,1,15,"Wrestling","Karate vs Wrestling"
"1660",1660,1660,1660,"/events/UFC-Fight-Night-27-Condit-vs-Kampmann-2-30211",30211,8,"UFC Fight Night 27 - Condit vs. Kampmann 2","Ultimate Fighting Championship","8/28/2013","Bankers Life Fieldhouse, Indianapolis, Indiana, United States","/fighter/Takeya-Mizugaki-12074","/fighter/Erik-Perez-35509","Takeya Mizugaki","Erik Perez","win","loss",12074,35509,"Decision","Split","Gary Copeland",3,"5:00",2013,"Boxing","MMA",1,0,1,15,"Boxing","Boxing vs MMA"
"1661",1661,1661,1661,"/events/UFC-Fight-Night-27-Condit-vs-Kampmann-2-30211",30211,7,"UFC Fight Night 27 - Condit vs. Kampmann 2","Ultimate Fighting Championship","8/28/2013","Bankers Life Fieldhouse, Indianapolis, Indiana, United States","/fighter/Brad-Tavares-33095","/fighter/Bubba-McDaniel-14600","Brad Tavares","Bubba McDaniel","win","loss",33095,14600,"Decision","Unanimous","Dan Miragliotta",3,"5:00",2013,"Brazilian Jiu Jitsu","MMA",1,0,1,15,"Brazilian Jiu Jitsu","Brazilian Jiu Jitsu vs MMA"
"1662",1662,1662,1662,"/events/UFC-Fight-Night-27-Condit-vs-Kampmann-2-30211",30211,4,"UFC Fight Night 27 - Condit vs. Kampmann 2","Ultimate Fighting Championship","8/28/2013","Bankers Life Fieldhouse, Indianapolis, Indiana, United States","/fighter/Darren-Elkins-22094","/fighter/Hatsu-Hioki-5466","Darren Elkins","Hatsu Hioki","win","loss",22094,5466,"Decision","Unanimous","Dan Miragliotta",3,"5:00",2013,"Wrestling","Brazilian Jiu Jitsu",1,0,1,15,"Wrestling","Brazilian Jiu Jitsu vs Wrestling"
"1663",1663,1663,1663,"/events/UFC-164-Henderson-vs-Pettis-2-28701",28701,8,"UFC 164 - Henderson vs. Pettis 2","Ultimate Fighting Championship","8/31/2013","BMO Harris Bradley Center, Milwaukee, Wisconsin, United States","/fighter/Dustin-Poirier-50529","/fighter/Erik-Koch-23390","Dustin Poirier","Erik Koch","win","loss",50529,23390,"Decision","Unanimous","Rob Hinds",3,"5:00",2013,"Brazilian Jiu Jitsu","Taekwondo",1,0,1,15,"Brazilian Jiu Jitsu","Brazilian Jiu Jitsu vs Taekwondo"
"1664",1664,1664,1664,"/events/UFC-164-Henderson-vs-Pettis-2-28701",28701,7,"UFC 164 - Henderson vs. Pettis 2","Ultimate Fighting Championship","8/31/2013","BMO Harris Bradley Center, Milwaukee, Wisconsin, United States","/fighter/Gleison-Tibau-5993","/fighter/Jamie-Varner-7168","Gleison Tibau","Jamie Varner","win","loss",5993,7168,"Decision","Split","Yves Lavigne",3,"5:00",2013,"Brazilian Jiu Jitsu","Wrestling",1,0,1,15,"Brazilian Jiu Jitsu","Brazilian Jiu Jitsu vs Wrestling"
"1665",1665,1665,1665,"/events/UFC-164-Henderson-vs-Pettis-2-28701",28701,6,"UFC 164 - Henderson vs. Pettis 2","Ultimate Fighting Championship","8/31/2013","BMO Harris Bradley Center, Milwaukee, Wisconsin, United States","/fighter/Tim-Elliott-49213","/fighter/Louis-Gaudinot-45230","Tim Elliott","Louis Gaudinot","win","loss",49213,45230,"Decision","Unanimous","Herb Dean",3,"5:00",2013,"Wrestling","Karate",1,0,1,15,"Wrestling","Karate vs Wrestling"
"1666",1666,1666,1666,"/events/UFC-164-Henderson-vs-Pettis-2-28701",28701,4,"UFC 164 - Henderson vs. Pettis 2","Ultimate Fighting Championship","8/31/2013","BMO Harris Bradley Center, Milwaukee, Wisconsin, United States","/fighter/Chico-Camus-42850","/fighter/Kyung-Ho-Kang-24067","Chico Camus","Kyung Ho Kang","win","loss",42850,24067,"Decision","Unanimous","Yves Lavigne",3,"5:00",2013,"MMA","Wrestling",1,0,1,15,"MMA","MMA vs Wrestling"
"1667",1667,1667,1667,"/events/UFC-Fight-Night-28-Teixeira-vs-Bader-30213",30213,7,"UFC Fight Night 28 - Teixeira vs. Bader","Ultimate Fighting Championship","9/4/2013","Jornalista Felipe Drumond Stadium, Belo Horizonte, Minas Gerais, Brazil","/fighter/Rafael-Natal-13968","/fighter/Tor-Troeng-6850","Rafael Natal","Tor Troeng","win","loss",13968,6850,"Decision","Unanimous","Leon Roberts",3,"5:00",2013,"Brazilian Jiu Jitsu","Brazilian Jiu Jitsu",1,0,1,15,"Brazilian Jiu Jitsu","Brazilian Jiu Jitsu vs Brazilian Jiu Jitsu"
"1668",1668,1668,1668,"/events/UFC-Fight-Night-28-Teixeira-vs-Bader-30213",30213,5,"UFC Fight Night 28 - Teixeira vs. Bader","Ultimate Fighting Championship","9/4/2013","Jornalista Felipe Drumond Stadium, Belo Horizonte, Minas Gerais, Brazil","/fighter/Edimilson-Souza-57343","/fighter/Felipe-Arantes-31372","Edimilson Souza","Felipe Arantes","win","loss",57343,31372,"Decision","Split","Neil Hall",3,"5:00",2013,"MMA","Muay Thai",1,0,1,15,"MMA","MMA vs Muay Thai"
"1669",1669,1669,1669,"/events/UFC-165-Jones-vs-Gustafsson-30249",30249,13,"UFC 165 - Jones vs. Gustafsson","Ultimate Fighting Championship","9/21/2013","Air Canada Centre, Toronto, Ontario, Canada","/fighter/Jon-Jones-27944","/fighter/Alexander-Gustafsson-26162","Jon Jones","Alexander Gustafsson","win","loss",27944,26162,"Decision","Unanimous","John McCarthy",5,"5:00",2013,"MMA","Wrestling",1,0,1,25,"MMA","MMA vs Wrestling"
"1670",1670,1670,1670,"/events/UFC-165-Jones-vs-Gustafsson-30249",30249,10,"UFC 165 - Jones vs. Gustafsson","Ultimate Fighting Championship","9/21/2013","Air Canada Centre, Toronto, Ontario, Canada","/fighter/Francis-Carmont-9798","/fighter/Costas-Philippou-32432","Francis Carmont","Costas Philippou","win","loss",9798,32432,"Decision","Unanimous","John McCarthy",3,"5:00",2013,"Wrestling","Boxing",1,0,1,15,"Wrestling","Boxing vs Wrestling"
"1671",1671,1671,1671,"/events/UFC-165-Jones-vs-Gustafsson-30249",30249,9,"UFC 165 - Jones vs. Gustafsson","Ultimate Fighting Championship","9/21/2013","Air Canada Centre, Toronto, Ontario, Canada","/fighter/Khabib-Nurmagomedov-56035","/fighter/Pat-Healy-6246","Khabib Nurmagomedov","Pat Healy","win","loss",56035,6246,"Decision","Unanimous","Yves Lavigne",3,"5:00",2013,"Russian Sambo","Muay Thai",1,0,1,15,"Russian Sambo","Muay Thai vs Russian Sambo"
"1672",1672,1672,1672,"/events/UFC-165-Jones-vs-Gustafsson-30249",30249,8,"UFC 165 - Jones vs. Gustafsson","Ultimate Fighting Championship","9/21/2013","Air Canada Centre, Toronto, Ontario, Canada","/fighter/Myles-Jury-34236","/fighter/Mike-Ricci-33532","Myles Jury","Mike Ricci","win","loss",34236,33532,"Decision","Split","John McCarthy",3,"5:00",2013,"Brazilian Jiu Jitsu","Kickboxing",1,0,1,15,"Brazilian Jiu Jitsu","Brazilian Jiu Jitsu vs Kickboxing"
"1673",1673,1673,1673,"/events/UFC-165-Jones-vs-Gustafsson-30249",30249,7,"UFC 165 - Jones vs. Gustafsson","Ultimate Fighting Championship","9/21/2013","Air Canada Centre, Toronto, Ontario, Canada","/fighter/Wilson-Reis-23401","/fighter/Ivan-Menjivar-993","Wilson Reis","Ivan Menjivar","win","loss",23401,993,"Decision","Unanimous","Yves Lavigne",3,"5:00",2013,"Brazilian Jiu Jitsu","Brazilian Jiu Jitsu",1,0,1,15,"Brazilian Jiu Jitsu","Brazilian Jiu Jitsu vs Brazilian Jiu Jitsu"
"1674",1674,1674,1674,"/events/UFC-165-Jones-vs-Gustafsson-30249",30249,2,"UFC 165 - Jones vs. Gustafsson","Ultimate Fighting Championship","9/21/2013","Air Canada Centre, Toronto, Ontario, Canada","/fighter/Alex-Caceres-41586","/fighter/Roland-Delorme-37351","Alex Caceres","Roland Delorme","win","loss",41586,37351,"Decision","Split","Todd Anderson",3,"5:00",2013,"MMA","Judo",1,0,1,15,"MMA","Judo vs MMA"
"1675",1675,1675,1675,"/events/UFC-Fight-Night-29-Maia-vs-Shields-31869",31869,10,"UFC Fight Night 29 - Maia vs. Shields","Ultimate Fighting Championship","10/9/2013","Jose Correa Gymnasium, Barueri, Sao Paulo, Brazil","/fighter/Jake-Shields-502","/fighter/Demian-Maia-14637","Jake Shields","Demian Maia","win","loss",502,14637,"Decision","Split","Marc Goddard",5,"5:00",2013,"Brazilian Jiu Jitsu","Brazilian Jiu Jitsu",1,0,1,25,"Brazilian Jiu Jitsu","Brazilian Jiu Jitsu vs Brazilian Jiu Jitsu"
"1676",1676,1676,1676,"/events/UFC-Fight-Night-29-Maia-vs-Shields-31869",31869,8,"UFC Fight Night 29 - Maia vs. Shields","Ultimate Fighting Championship","10/9/2013","Jose Correa Gymnasium, Barueri, Sao Paulo, Brazil","/fighter/Thiago-Silva-14396","/fighter/Matt-Hamill-16695","Thiago Silva","Matt Hamill","win","loss",14396,16695,"Decision","Unanimous","Keith Peterson",3,"5:00",2013,"Kickboxing","Wrestling",1,0,1,15,"Kickboxing","Kickboxing vs Wrestling"
"1677",1677,1677,1677,"/events/UFC-Fight-Night-29-Maia-vs-Shields-31869",31869,7,"UFC Fight Night 29 - Maia vs. Shields","Ultimate Fighting Championship","10/9/2013","Jose Correa Gymnasium, Barueri, Sao Paulo, Brazil","/fighter/Fabio-Maldonado-16426","/fighter/Joey-Beltran-21219","Fabio Maldonado","Joey Beltran","win","loss",16426,21219,"Decision","Split","Mario Yamasaki",3,"5:00",2013,"Boxing","Wrestling",1,0,1,15,"Boxing","Boxing vs Wrestling"
"1678",1678,1678,1678,"/events/UFC-Fight-Night-29-Maia-vs-Shields-31869",31869,5,"UFC Fight Night 29 - Maia vs. Shields","Ultimate Fighting Championship","10/9/2013","Jose Correa Gymnasium, Barueri, Sao Paulo, Brazil","/fighter/Raphael-Assuncao-9574","/fighter/TJ-Dillashaw-62507","Raphael Assuncao","T.J. Dillashaw","win","loss",9574,62507,"Decision","Split","Mario Yamasaki",3,"5:00",2013,"Brazilian Jiu Jitsu","Muay Thai",1,0,1,15,"Brazilian Jiu Jitsu","Brazilian Jiu Jitsu vs Muay Thai"
"1679",1679,1679,1679,"/events/UFC-Fight-Night-29-Maia-vs-Shields-31869",31869,4,"UFC Fight Night 29 - Maia vs. Shields","Ultimate Fighting Championship","10/9/2013","Jose Correa Gymnasium, Barueri, Sao Paulo, Brazil","/fighter/Igor-Araujo-12803","/fighter/Ildemar-Alcantara-22223","Igor Araujo","Ildemar Alcantara","win","loss",12803,22223,"Decision","Unanimous","Marc Goddard",3,"5:00",2013,"Brazilian Jiu Jitsu","Brazilian Jiu Jitsu",1,0,1,15,"Brazilian Jiu Jitsu","Brazilian Jiu Jitsu vs Brazilian Jiu Jitsu"
"1680",1680,1680,1680,"/events/UFC-Fight-Night-29-Maia-vs-Shields-31869",31869,3,"UFC Fight Night 29 - Maia vs. Shields","Ultimate Fighting Championship","10/9/2013","Jose Correa Gymnasium, Barueri, Sao Paulo, Brazil","/fighter/Yan-Cabral-27090","/fighter/David-Mitchell-16830","Yan Cabral","David Mitchell","win","loss",27090,16830,"Decision","Unanimous","Mario Yamasaki",3,"5:00",2013,"Brazilian Jiu Jitsu","Brazilian Jiu Jitsu",1,0,1,15,"Brazilian Jiu Jitsu","Brazilian Jiu Jitsu vs Brazilian Jiu Jitsu"
"1681",1681,1681,1681,"/events/UFC-166-Velasquez-vs-dos-Santos-3-30813",30813,12,"UFC 166 - Velasquez vs. dos Santos 3","Ultimate Fighting Championship","10/19/2013","Toyota Center, Houston, Texas, United States","/fighter/Daniel-Cormier-52311","/fighter/Roy-Nelson-10249","Daniel Cormier","Roy Nelson","win","loss",52311,10249,"Decision","Unanimous","Jacob Montalvo",3,"5:00",2013,"Wrestling","Boxing",1,0,1,15,"Wrestling","Boxing vs Wrestling"
"1682",1682,1682,1682,"/events/UFC-166-Velasquez-vs-dos-Santos-3-30813",30813,11,"UFC 166 - Velasquez vs. dos Santos 3","Ultimate Fighting Championship","10/19/2013","Toyota Center, Houston, Texas, United States","/fighter/Gilbert-Melendez-5545","/fighter/Diego-Sanchez-4824","Gilbert Melendez","Diego Sanchez","win","loss",5545,4824,"Decision","Unanimous","Kerry Hatley",3,"5:00",2013,"Boxing","Brazilian Jiu Jitsu",1,0,1,15,"Boxing","Boxing vs Brazilian Jiu Jitsu"
